"8,625.84"
761.90
-161.88
"-1,821.24"
"-3,113.56"
"-4,597.47"
"-3,272.29"
"-1,700.00"
"-2,227.48"
"3,574.45"
"9,236.71"
"11,497.81"
"13,713.44"
"19,329.89"
"33,088.27"
"71,347.96"
"183,355.09"
"328,838.90"
"1,194,687.58"
"1,018,556.97"
"970,545.02"
"890,382.45"
"810,654.88"
"763,811.12"
"738,931.12"
"775,019.82"
"895,462.46"
"844,158.73"
"773,850.22"
"888,204.48"
"1,214,030.67"
"1,095,421.60"
"962,271.55"
"974,211.34"
"918,525.92"
"846,522.14"
"835,737.13"
"877,330.62"
"1,246,748.78"
"1,177,291.42"
"1,054,559.29"
"947,753.28"
"872,449.90"
"821,360.44"
"773,953.54"
"741,448.45"
"721,509.41"
"754,209.80"
"744,037.00"
"707,729.48"
"668,231.36"
"632,042.42"
"603,869.12"
"575,339.55"
"538,572.51"
"511,847.20"
"491,229.79"
"472,330.93"
"452,145.44"
"424,440.71"
"402,820.71"
"382,911.55"
"365,432.89"
"350,188.37"
"336,404.89"
"324,377.50"
"313,886.93"
"304,766.04"
"296,361.46"
"288,570.34"
"282,712.07"
"278,438.23"
"282,004.80"
"278,663.66"
"270,129.58"
"257,074.15"
"246,941.10"
"237,879.67"
"228,747.93"
"220,115.01"
"211,206.44"
"202,814.32"
"194,633.66"
"187,036.93"
"179,885.27"
"176,341.09"
"170,211.41"
"163,491.95"
"157,086.08"
"150,976.85"
"145,659.98"
"140,838.59"
"136,744.15"
"133,176.52"
"128,140.38"
"126,685.53"
"125,468.94"
"124,307.52"
"123,245.02"
"121,929.41"
"120,663.27"
"119,215.02"
"117,754.57"
"116,183.45"
"114,583.16"
"112,914.32"
"111,211.75"
"109,458.32"
"107,666.25"
"105,823.74"
"103,926.47"
"103,763.61"
"101,095.75"
"97,665.49"
"94,103.72"
"90,624.41"
"87,251.41"
"83,972.28"
"80,874.15"
"76,778.96"
"75,537.80"
"74,263.13"
"72,935.77"
"71,624.75"
"70,292.83"
"69,072.83"
"67,872.59"
"66,771.38"
"65,739.02"
"64,826.63"
"64,019.29"
"63,322.11"
"62,693.22"
"62,097.39"
"61,484.81"
"60,825.07"
"60,097.31"
"59,300.49"
"58,442.39"
"57,539.52"
"58,392.19"
"56,698.26"
"54,718.80"
"52,494.19"
